document_number,raw_text_url,president,publication_date,title,topics
 96-8520,https://www.federalregister.gov/documents/full_text/text/1996/04/04/96-8520.txt,identifier; william-j-clinton; name; William J. Clinton,04/04/1996,Korean Peninsula Energy Development Organization,""
 96-9033,https://www.federalregister.gov/documents/full_text/text/1996/04/09/96-9033.txt,identifier; william-j-clinton; name; William J. Clinton,04/09/1996,Amendment to Executive Order No. 11880,""
 96-9866,https://www.federalregister.gov/documents/full_text/text/1996/04/19/96-9866.txt,identifier; william-j-clinton; name; William J. Clinton,04/19/1996,Educational Technology: Ensuring Opportunity for All Children in the Next Century,""
 96-10550,https://www.federalregister.gov/documents/full_text/text/1996/04/26/96-10550.txt,identifier; william-j-clinton; name; William J. Clinton,04/26/1996,Order of Succession of Officers To Act as Secretary of Defense,""
 96-11966,https://www.federalregister.gov/documents/full_text/text/1996/05/10/96-11966.txt,identifier; william-j-clinton; name; William J. Clinton,05/10/1996,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by the Transportation Communications International Union,""
 96-12535,https://www.federalregister.gov/documents/full_text/text/1996/05/16/96-12535.txt,identifier; william-j-clinton; name; William J. Clinton,05/16/1996,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto,""
 96-12720,https://www.federalregister.gov/documents/full_text/text/1996/05/17/96-12720.txt,identifier; william-j-clinton; name; William J. Clinton,05/17/1996,"Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by the Brotherhood of Maintenance of Way Employes Disputes exist between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference, including Consolidated Rail Corporation (including the Clearfield Cluster), Burlington Northern Railroad Co., CSX Transportation Inc., Norfolk Southern Railway Co., Atchison, Topeka and Santa Fe Railway Co., Union Pacific Railroad, Chicago & North Western Railway Co., Kansas City Southern Railway Co., and their employees represented by the Brotherhood of Maintenance of Way Employes. The railroads involved in these disputes are designated on the attached list, which is made a part of this order.",""
 96-13081,https://www.federalregister.gov/documents/full_text/text/1996/05/22/96-13081.txt,identifier; william-j-clinton; name; William J. Clinton,05/22/1996,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Railway Labor Conference and Their- Employees Represented by Certain Labor Organizations,""
 96-13306,https://www.federalregister.gov/documents/full_text/text/1996/05/24/96-13306.txt,identifier; william-j-clinton; name; William J. Clinton,05/24/1996,Empowerment Contracting,""
 96-13305,https://www.federalregister.gov/documents/full_text/text/1996/05/24/96-13305.txt,identifier; william-j-clinton; name; William J. Clinton,05/24/1996,Locating Federal Facilities on Historic Properties in Our Nation's Central Cities,""
 96-13597,https://www.federalregister.gov/documents/full_text/text/1996/05/29/96-13597.txt,identifier; william-j-clinton; name; William J. Clinton,05/29/1996,Indian Sacred Sites,""
 96-14372,https://www.federalregister.gov/documents/full_text/text/1996/06/05/96-14372.txt,identifier; william-j-clinton; name; William J. Clinton,06/05/1996,Amending Executive Order No. 12880,""
 96-15656,https://www.federalregister.gov/documents/full_text/text/1996/06/18/96-15656.txt,identifier; william-j-clinton; name; William J. Clinton,06/18/1996,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS,""
 96-18351,https://www.federalregister.gov/documents/full_text/text/1996/07/17/96-18351.txt,identifier; william-j-clinton; name; William J. Clinton,07/17/1996,Critical Infrastructure Protection,""
